review_id,place_name,review_text,strata,translated_text,rating,original_language,raw_aspect,aspect_category,opinion_word,was_translated,sentiment,is_manglish,human_verified,annotation_notes,needs_review,qa_flags
ChZDSUhNMG9nS0VJQ0FnSURDakwtTGVREAE,Raihana One Bistro,So many choices and the nasi kandar is good,english,so many choices and the nasi kandar is good,4,en,choices,other,good,False,Positive,NO,True,"WRONG_CAT: choise mapped to other, should be food, WRONG_OP : opinon word extracted for wrong aspect MISSING: missed ""nasi kandar"" as aspect. ",False,"WRONG_CAT: food variety term ""choices"" → consider food/overall, got other"
ChZDSUhNMG9nS0VJQ0FnSURDakwtTGVREAE,Raihana One Bistro,So many choices and the nasi kandar is good,english,so many choices and the nasi kandar is good,4,en,choices,ambiance,good,False,Positive,NO,True,"WRONG_CAT: food variety term mapped to ambiance, it should be food",False,"WRONG_CAT: food variety term ""choices"" → consider food/overall, got ambiance"
ChZDSUhNMG9nS0VJQ0FnSURDakwtTGVREAE,Raihana One Bistro,So many choices and the nasi kandar is good,english,so many choices and the nasi kandar is good,4,en,choices,ambiance,many,False,Positive,NO,True,,True,"NOISY_PAIR: opinion word ""many"" is descriptive not sentiment; WRONG_CAT: food variety term ""choices"" → consider food/overall, got ambiance"
ChdDSUhNMG9nS0VJQ0FnSUNTNE1yTTV3RRAB,Raihana One Bistro,I've tried mee goreng mamak and garlic naan. Taste good. Will go again to try other dishes.,english,i've tried mee goreng mamak and garlic naan. taste good. will go again to try other dishes.,4,en,dishes,food,other,False,Negative,NO,True,"NOISE: opinion word is descriptive not sentiment, MISSED: ""mee goreng"" visible in review but not extracted; MISSED: ""naan"" visible in review but not extracted",True,"NOISY_PAIR: opinion word ""other"" is descriptive not sentiment"
ChZDSUhNMG9nS0VJQ0FnSURka3VIZk13EAE,Raihana One Bistro,Food is decent and affordable. Service could be better if they were more attentive instead of chatting. Ambience is pretty normal as any mamak restaurant.,english,food is decent and affordable. service could be better if they were more attentive instead of chatting. ambience is pretty normal as any mamak restaurant.,4,en,food,food,affordable,False,Positive,YES,True,,False,
ChZDSUhNMG9nS0VJQ0FnSURka3VIZk13EAE,Raihana One Bistro,Food is decent and affordable. Service could be better if they were more attentive instead of chatting. Ambience is pretty normal as any mamak restaurant.,english,food is decent and affordable. service could be better if they were more attentive instead of chatting. ambience is pretty normal as any mamak restaurant.,4,en,service,service,better,False,Positive,YES,True,,False,
ChZDSUhNMG9nS0VJQ0FnSURka3VIZk13EAE,Raihana One Bistro,Food is decent and affordable. Service could be better if they were more attentive instead of chatting. Ambience is pretty normal as any mamak restaurant.,english,food is decent and affordable. service could be better if they were more attentive instead of chatting. ambience is pretty normal as any mamak restaurant.,4,en,mamak restaurant,ambiance,normal,False,Positive,YES,True,,False,
ChZDSUhNMG9nS0VJQ0FnSURka3VIZk13EAE,Raihana One Bistro,Food is decent and affordable. Service could be better if they were more attentive instead of chatting. Ambience is pretty normal as any mamak restaurant.,english,food is decent and affordable. service could be better if they were more attentive instead of chatting. ambience is pretty normal as any mamak restaurant.,4,en,mamak restaurant,food,normal,False,Positive,YES,True,,False,
ChZDSUhNMG9nS0VJQ0FnSURka3VIZk13EAE,Raihana One Bistro,Food is decent and affordable. Service could be better if they were more attentive instead of chatting. Ambience is pretty normal as any mamak restaurant.,english,food is decent and affordable. service could be better if they were more attentive instead of chatting. ambience is pretty normal as any mamak restaurant.,4,en,food,food,decent,False,Positive,YES,True,,False,
ChdDSUhNMG9nS0VJQ0FnSUNLMmEtNHF3RRAB,Raihana One Bistro,"Very clean, convenient parking.",english,"very clean, convenient parking.",5,en,parking,price,clean,False,Positive,NO,True,parking mapped to wrong category - likely ambiance; WRONG_CAT: parking → should be ambiance,True,"WRONG_CAT: ""parking"" → should be ambiance, got price"
